Name,Team,botCmd FA,player_id
Joe Ryan,MIN,68,657746
Zack Wheeler,PHI,68,554430
Trevor Williams,WSN,66,592866
Miles Mikolas,STL,66,543135
Pablo López,MIN,66,641154
George Kirby,SEA,66,669923
Aaron Nola,PHI,65,605400
Sandy Alcantara,MIA,64,645261
Kevin Gausman,TOR,64,592332
Seth Lugo,SDP,64,607625
Zack Greinke,KCR,62,425844
Shane Bieber,CLE,62,669456
James Paxton,BOS,61,572020
Zac Gallen,ARI,61,668678
Spencer Strider,ATL,61,675911
Tyler Glasnow,TBR,60,607192
Bailey Ober,MIN,60,641927
Gerrit Cole,NYY,60,543037
Eury Pérez,MIA,60,691587
Brandon Pfaadt,ARI,60,694297
Mike Clevinger,CHW,60,605182
Chris Stratton,2 Tms,60,608717
Bailey Falter,2 Tms,59,663559
Ryne Nelson,ARI,59,669194
Chris Sale,BOS,59,519242
Connor Seabold,COL,59,657756
Bryan Woo,SEA,59,693433
Max Scherzer,2 Tms,59,453286
José Berríos,TOR,59,621244
Logan Gilbert,SEA,58,669302
Logan Allen,CLE,58,671106
Kutter Crawford,BOS,58,676710
Justin Steele,CHC,58,657006
Bryce Miller,SEA,58,682243
Grayson Rodriguez,BAL,58,680570
Sean Manaea,SFG,58,640455
Eduardo Rodriguez,DET,58,593958
Shane McClanahan,TBR,57,663556
Luis Severino,NYY,57,622663
Sonny Gray,MIN,57,543243
Jordan Lyles,KCR,57,543475
Freddy Peralta,MIL,57,642547
Jesús Luzardo,MIA,57,666200
Matt Strahm,PHI,57,621381
Julio Urías,LAD,56,628711
Gavin Williams,CLE,56,668909
Hunter Greene,CIN,56,668881
Lance Lynn,2 Tms,56,458681
Tony Gonsolin,LAD,55,664062
Joey Wentz,DET,54,666214
JP Sears,OAK,54,676664
Hunter Brown,HOU,54,686613
J.P. France,HOU,54,641585
Luis Castillo,SEA,54,622491
Bobby Miller,LAD,54,676272
Mitch Keller,PIT,54,656605
Reid Detmers,LAA,53,672282
Dean Kremer,BAL,53,665152
Jameson Taillon,CHC,53,592791
Merrill Kelly,ARI,53,518876
Austin Gomber,COL,53,596295
Michael Wacha,SDP,53,608379
Clayton Kershaw,LAD,53,477132
Peter Lambert,COL,52,663567
Nick Pivetta,BOS,52,601713
Andrew Heaney,TEX,52,571760
Andrew Abbott,CIN,52,671096
Jon Gray,TEX,52,592351
Cole Ragans,2 Tms,52,666142
Taj Bradley,TBR,51,671737
Yusei Kikuchi,TOR,51,579328
Luke Weaver,3 Tms,51,596133
Jesse Scholtens,CHW,51,669947
Lucas Giolito,3 Tms,50,608337
Rich Hill,2 Tms,49,448179
Xzavion Curry,CLE,49,675540
MacKenzie Gore,WSN,49,669022
Justin Verlander,2 Tms,49,434378
Brayan Bello,BOS,49,678394
Ken Waldichuk,OAK,48,686610
Nathan Eovaldi,TEX,48,543135
Chris Flexen,2 Tms,47,623167
Tylor Megill,NYM,47,656731
Tanner Bibee,CLE,47,676440
Tyler Anderson,LAA,47,542881
Jack Flaherty,2 Tms,47,656427
Brandon Williamson,CIN,47,682227
Kyle Bradish,BAL,47,680694
Tyler Wells,BAL,46,669330
Luis Medina,OAK,46,665622
Cristian Javier,HOU,46,664299
Tommy Henry,ARI,45,674072
Jake Irvin,WSN,45,663623
Dylan Cease,CHW,44,656302
Patrick Sandoval,LAA,44,663776
Charlie Morton,ATL,44,450203
Kodai Senga,NYM,43,673540
Carlos Carrasco,NYM,42,471911
Edward Cabrera,MIA,42,665795
Blake Snell,SDP,41,605483
Michael Kopech,CHW,39,656629
Johan Oviedo,PIT,37,670912
David Peterson,NYM,34,656849
Phil Bickford,,48,641360
Shintaro Fujinami,,40,660261
Reynaldo Lopez,,53,625643
Kyle Finnegan,,53,640448
Andre Pallante,,43,669467
Craig Kimbrel,,59,518886
Carlos Estevez,,53,608032
Kyle Muller,,57,666205
Caleb Ferguson,,58,657571
Felix Bautista,,41,642585
Carlos Hernandez,,55,672578
Carlos Rodon,,53,607074
Drew Smith,,38,622098
David Bednar,,48,670280
Enye De los Santos,,57,660853
Zack Thompson,,53,668868
Scott McGough,,52,543518
Emmet Sheehan,,45,686218
Rafael Montero,,55,606160
Colin Poche,,43,621363
Paul Sewald,,66,623149
Ryan Weathers,,51,677960
Brock Burke,,59,656271
Trevor Richards,,43,670950
Andrew Nardi,,54,677053
Emilio Pagan,,62,641941
Joe Jimenez,,32,641729
Alex Vesia,,61,681911
Jake Diekman,,58,518617
Hunter Harvey,,54,640451
Tanner Scott,,59,656945
Kirby Yates,,53,489446
Hector Neris,,52,593576
Alexis Diaz,,33,664747
Matt Manning,,52,666159
Nestor Cortes,,53,641482
Ryne Stanek,,54,592773
Mike Baumann,,48,657508
Trevor Stephan,,54,663986
Ian Gibaut,,60,664139
"Bradford, Cody",,66,674003
"Farmer, Buck",,48,571656
"Harris, Hogan",,53,663687
Alex Faedo,,61,656412
Julian Merryweather,,53,657240
AJ Minter,,52,621345
Alec Marsh ,,39,679525
