Rk.,player_id,player,pitches,total,pitch %,downward movement w/ gravity (in),glove/arm-side movement (in),whiff_percent,pitch (MPH),spin (RPM),vertical release pt (ft),extension (ft),
1,675911,"Strider, Spencer RHP",1826,3100,58.9,10.6,6.1,28.7,97.2,2362,5.88,7,Graphs
2,543037,"Cole, Gerrit RHP",1739,3281,53,12,8.4,22.7,96.7,2412,5.95,6.3,Graphs
3,664299,"Javier, Cristian RHP",1682,2882,58.4,13.3,5.6,26.5,92.7,2255,5.72,6,Graphs
4,657006,"Steele, Justin LHP",1676,2678,62.6,21.5,1.3,20.3,91.8,2402,6.08,6.3,Graphs
5,668678,"Gallen, Zac RHP",1594,3248,49.1,14.4,2.9,19.2,93.6,2296,5.97,6.6,Graphs
6,592332,"Gausman, Kevin RHP",1561,3069,50.9,13.8,10.6,17.2,94.7,2278,5.79,6.5,Graphs
7,605483,"Snell, Blake LHP",1541,3168,48.6,11.4,4.6,19.5,95.5,2430,6.62,6.9,Graphs
8,657746,"Ryan, Joe RHP",1526,2683,56.9,17.6,10.3,28.7,92.3,2216,4.97,6.5,Graphs
9,571760,"Heaney, Andrew LHP",1506,2603,57.9,18.3,15.9,25.6,92.5,2413,4.99,6.5,Graphs
10,656629,"Kopech, Michael RHP",1492,2430,61.4,13.1,9.0,26.4,95.2,2501,5.71,6.8,Graphs
11,669022,"Gore, MacKenzie LHP",1464,2462,59.5,12.9,4.3,21.6,95,2286,6.01,7.1,Graphs
12,642547,"Peralta, Freddy RHP",1453,2839,51.2,15.3,6.9,29.2,94.4,2414,5.08,6.9,Graphs
13,676664,"Sears, JP LHP",1437,2867,50.1,16.9,11.2,21.7,93.1,2135,4.98,6.5,Graphs
14,622491,"Castillo, Luis RHP",1423,3207,44.4,16,12.0,33,96.3,2287,5.2,5.5,Graphs
15,656302,"Cease, Dylan RHP",1408,3262,43.2,11.2,3.2,20.5,95.6,2519,6.27,6.3,Graphs
16,686610,"Waldichuk, Ken LHP",1387,2553,54.3,16.3,10.2,17.8,93.3,2300,5.53,7,Graphs
17,458681,"Lynn, Lance RHP",1385,3167,43.7,18.4,3.2,31.6,92.4,2424,5.64,6.5,Graphs
18,554430,"Wheeler, Zack RHP",1370,3155,43.4,14.5,6.3,31.4,95.8,2495,5.44,7.3,Graphs
19,666200,"Luzardo, Jesús LHP",1367,2988,45.7,15.5,14.1,19.4,96.7,2240,5.85,5.7,Graphs
20,608337,"Giolito, Lucas RHP",1338,3190,41.9,13.5,5.5,20,93.1,2173,6.33,6.9,Graphs
21,434378,"Verlander, Justin RHP",1302,2602,50,12.2,8.0,18.1,94.3,2428,7.03,6,Graphs
22,669194,"Nelson, Ryne RHP",1285,2355,54.6,12.6,4.1,16.7,94.4,2210,6.04,6.7,Graphs
23,579328,"Kikuchi, Yusei LHP",1271,2818,45.1,14.3,9.8,26.8,95.1,2340,5.32,6.9,Graphs
24,686613,"Brown, Hunter RHP",1253,2720,46.1,13.1,6.1,22.3,95.7,2240,6.18,6.8,Graphs
25,656731,"Megill, Tylor RHP",1245,2235,55.7,15.7,7.8,18.4,94.9,2126,6.02,7.3,Graphs
26,682243,"Miller, Bryce RHP",1224,2095,58.4,11.8,3.5,27.1,95.1,2591,5.76,6.2,Graphs
27,669302,"Gilbert, Logan RHP",1223,2922,41.9,12.8,6.1,17.7,95.7,2000,6.19,7.5,Graphs
28,601713,"Pivetta, Nick RHP",1205,2383,50.6,10.7,4.1,24.7,94.6,2347,6.63,6.9,Graphs
29,670912,"Oviedo, Johan RHP",1169,2980,39.2,19.5,9.8,18.3,95.8,2269,5.57,7,Graphs
30,640455,"Manaea, Sean LHP",1153,2052,56.2,20.6,15.0,23.3,93.6,2039,5.57,7.2,Graphs
31,453286,"Scherzer, Max RHP",1142,2465,46.3,15.5,10.8,23.8,93.7,2360,5.48,6.3,Graphs
32,668881,"Greene, Hunter RHP",1135,2089,54.3,13,11.6,25.2,98.3,2343,6.01,6.3,Graphs
33,592866,"Williams, Trevor RHP",1133,2622,43.2,22.6,6.4,16.7,89.7,2204,5.04,6.7,Graphs
34,672282,"Detmers, Reid LHP",1123,2599,43.2,15.1,11.0,21.2,94.3,2095,5.99,6,Graphs
35,669923,"Kirby, George RHP",1112,2825,39.4,14.4,8.3,28,96.1,2209,5.92,6.4,Graphs
36,656427,"Flaherty, Jack RHP",1097,2634,41.6,17.9,2.3,20.8,93.1,2306,5.43,6.8,Graphs
37,676440,"Bibee, Tanner RHP",1095,2326,47.1,13.9,4.6,19,94.9,2301,6.42,6.6,Graphs
38,665152,"Kremer, Dean RHP",1084,2925,37.1,13.8,9.7,26.2,94.6,2304,5.85,6.3,Graphs
39,593958,"Rodriguez, Eduardo LHP",1076,2446,44,17.5,5.8,22.2,92.2,2165,5.82,6.2,Graphs
40,641927,"Ober, Bailey RHP",1063,2327,45.7,16.2,7.5,27.7,91.3,2313,5.81,7.3,Graphs
41,641154,"López, Pablo RHP",1043,3024,34.5,16,5.0,31.5,94.9,2262,5.53,7.2,Graphs
42,680570,"Rodriguez, Grayson RHP",1043,2104,49.6,13.2,11.4,24.1,97.4,2270,5.79,7.2,Graphs
43,673540,"Senga, Kodai RHP",1033,2795,37,13.4,8.0,17.3,95.7,2283,5.9,6.5,Graphs
44,592351,"Gray, Jon RHP",1014,2393,42.4,16.9,10.0,17.9,95.7,2010,5.47,6.6,Graphs
45,605182,"Clevinger, Mike RHP",1006,2100,47.9,13.4,7.3,17.4,94.3,2267,5.74,6.8,Graphs
46,596133,"Weaver, Luke RHP",982,2258,43.5,15,7.5,17.5,94,2395,5.78,5.8,Graphs
47,671106,"Allen, Logan LHP",963,2134,45.1,16.6,4.1,17.7,91.4,2150,5.24,6.5,Graphs
48,572020,"Paxton, James LHP",957,1690,56.6,15.4,11.9,21.7,95.2,2207,6.08,6.8,Graphs
49,671096,"Gomber, Austin LHP",949,2160,43.9,16.1,7.1,11.8,90.6,2170,6.67,6.6,Graphs
50,641585,"France, J.P. RHP",949,2202,43.1,16.1,1.5,10.6,93,2426,5.63,6.2,Graphs
51,596295,"Abbott, Andrew LHP",949,1897,50,15.4,7.8,19.8,92.7,2207,5.76,6.7,Graphs
52,605400,"Nola, Aaron RHP",910,3087,29.5,16.8,12.2,21.7,92.7,2304,5.19,6.9,Graphs
